country,weight,ai_heard,ai_cncexc,aireg_us,aireg_china,aireg_eu,aireg_country
2,0.736390876704131,1,2,4,4,2,2
2,1.14594655341765,1,3,3,3,2,2
2,0.91357665448901,2,2,4,4,2,2
2,1.84604427756794,2,3,4,4,2,2
2,2.07616371669323,3,2,8,3,8,1
2,0.347816604509181,1,3,2,4,1,1
2,0.429740149420878,1,3,3,4,4,4
2,0.714956273359559,2,2,2,4,1,1
2,0.37518708620681,1,3,4,4,2,2
2,1.46429936697403,2,3,4,4,8,2
2,0.459434408502016,3,1,2,1,1,1
2,0.459434408502016,2,3,2,4,2,1
2,0.459434408502016,2,3,4,4,1,1
2,0.497102959141763,1,3,2,3,8,2
2,0.593536948879175,3,3,1,1,1,1
2,2.17899058778687,2,3,2,4,2,2
2,2.17899058778687,1,3,3,3,3,3
2,0.714956273359559,1,3,8,8,8,8
2,0.777490660777182,2,3,1,1,2,2
2,0.91357665448901,1,1,1,4,4,4
2,0.497102959141763,2,3,3,3,2,2
2,2.48127239251815,1,2,2,2,8,2
2,1.35262560294249,2,2,4,4,4,4
2,2.17899058778687,2,3,2,2,3,1
2,0.539045345209143,2,3,4,4,3,3
2,0.459434408502016,2,2,4,4,2,3
2,0.993483578277593,2,3,2,4,2,2
2,0.586808930032561,1,3,8,8,3,3
2,0.714956273359559,2,2,3,4,1,1
2,1.15174737705737,1,3,1,4,4,2
2,0.482633463269807,1,2,4,4,1,2
2,0.482633463269807,2,2,4,4,2,2
2,1.15174737705737,2,8,3,4,3,3
2,1.29531893904159,1,3,3,3,3,3
2,0.363884242312145,1,2,2,2,2,8
2,0.91357665448901,1,1,2,8,1,1
2,0.459434408502016,1,3,2,2,1,1
2,0.688796310269425,1,3,3,3,2,2
2,0.586808930032561,1,1,4,4,2,1
2,1.35262560294249,1,2,2,3,3,2
2,0.31014263107127,1,2,4,4,1,1
2,0.773574796678392,2,3,4,3,2,2
2,0.37518708620681,2,3,3,3,2,2
2,0.777490660777182,2,2,2,3,2,2
2,1.91501720975137,2,2,2,4,8,1
2,0.832378304457151,1,1,3,8,3,8
2,0.714956273359559,3,2,8,8,8,8
2,1.14594655341765,1,2,4,2,1,1
2,0.913094133978223,8,3,2,3,3,3
2,1.78580657896565,1,2,4,4,2,1
2,0.869203847799563,2,2,4,4,8,2
2,1.24617794994009,3,2,4,4,8,8
2,0.541260425363566,1,3,2,4,2,2
2,1.14594655341765,2,3,4,4,2,1
2,1.84604427756794,3,2,4,4,2,2
2,0.616712771323192,2,3,2,3,1,2
2,0.773574796678392,1,1,2,4,2,2
2,1.24617794994009,1,2,2,4,4,2
2,1.15174737705737,2,1,8,4,4,8
2,0.832378304457151,2,3,1,3,1,1
2,0.539045345209143,1,3,4,4,1,2
2,0.636265742850155,2,3,3,3,1,1
2,0.31014263107127,2,3,3,4,2,2
2,2.07616371669323,2,2,3,3,2,2
2,1.00547676171594,2,3,4,4,2,2
2,0.676682159937545,2,3,4,4,2,2
2,0.714765898159395,2,3,3,1,1,2
2,1.01056652209888,2,2,1,4,2,3
2,0.422182128717061,1,1,2,3,2,2
2,0.559368894073121,2,2,3,3,3,3
2,0.31014263107127,1,1,3,3,3,3
2,0.901106376098888,2,2,3,3,2,8
2,1.09009030600901,3,2,4,4,2,8
2,1.09009030600901,3,2,2,3,2,2
2,1.4443117494458,2,3,2,2,2,1
2,0.359453195333621,2,3,2,4,2,2
2,0.901106376098888,3,3,4,4,1,8
2,1.37776710742588,2,3,4,2,8,2
2,0.559368894073121,3,2,2,4,8,8
2,0.576138941157831,1,2,3,3,3,3
2,0.576138941157831,2,2,8,4,4,8
2,0.901106376098888,3,3,4,4,8,4
2,1.05826987720187,2,1,2,3,2,2
2,0.627317143510851,1,2,3,3,2,2
2,1.37776710742588,2,3,3,4,2,2
